ID;Button;Translate
1198;countryfield_lamp_on;
1199;bw;
1200;brighter;Bright+
1201;blackout;
1202;bbw;
1203;arrow_up;Up
1204;arrow_down;Down
1205;air;
1206;___;
1207;__;
1208;_SETUP_;
1209;^;
1210;\/;
1211;Zoom_out_slow;
1212;Zoom_out_fast;
1213;Zoom_in_slw;
1214;Zoom_in_fast;
1215;Zoom_dwn;
1216;Zoom_down;
1217;Zoom_Plus;
1218;Zoom_OUT;
1219;Zoom_Moins;
1220;Zoom_IN;
1221;ZoomOUT;
1222;ZoomIN;
1223;Zigzag;
1224;Zig;
1225;Zero_CA_Skip;
1226;ZeroSearch;
1227;ZOOMOUT;
1228;ZOOMIN;
1229;YuppTV;
1230;Yousing1;
1231;Yellowish Red;
1232;Yellow_green;
1233;Yellow_c;
1234;Yellow_Delete;
1235;Yellow_C;
1236;Yellow_Button;
1237;Yellow/Repeat;
1238;Yellow(1);
1239;Yellow Down;
1240;Yell_play;
1241;Yawn1;
1242;Yamaha_POWER;
1243;YOUTUBE;
1244;YIT;
1245;YEL_FD_6;
1246;YEL_FD_5;
1247;YEL_FD_4;
1248;YEL_FD_3;
1249;YEL_FD_2;
1250;YEL_FD_1;
1251;YEL_9;
1252;YEL_8;
1253;YEL_7;
1254;YEL_6;
1255;YEL_5;
1256;YEL_4;
1257;YEL_3;
1258;YEL_2;
1259;YELOR_2;
1260;YELOR_1;
1261;YELLOW | FAV;
1262;YELLOW / PLAY-PAUSE;
1263;YELGRN_FD_6;
1264;YELGRN_FD_5;
1265;YELGRN_FD_4;
1266;YELGRN_FD_3;
1267;YELGRN_FD_2;
1268;YELGRN_FD_1;
1269;YELGRN_3;
1270;YELGRN_2;
1271;Xmas;
1272;Xfinity;
1273;Xbox_up;
1274;Xbox_tv_shows;
1275;Xbox_select;
1276;Xbox_right;
1277;Xbox_movies;
1278;Xbox_left;
1279;Xbox_down;
1280;Xbox_back;
1281;Xbox_POWER;
1282;Xbox_Button;
1283;XSTUDIO;
1284;XBOX;
1285;X2;
1286;Ww;
1287;Working;
1288;Woofer_level;
1289;Woofer_Up;
1290;Woofer_Down;
1291;Woofer -;
1292;Woofer +;
1293;Wind;
1294;Wide_flow;
1295;WideSwing;
